[11.4677185, 47.5857786]
[14.1955556, 47.8875]
[8.0010375, 46.0360722]
[13.4539817, 46.27842]
[14.19, 47.1513889]
[14.4048162, 46.3502099]
[15.7899645, 47.5741948]
[14.7427488, 47.753801]
[14.0670522, 45.7983097]
[17.1605063, 42.9952827]
[16.4849126, 43.790562]
[12.1558333, 46.2661111]
[12.1212607, 46.3092021]
[14.6990919, 47.6148879]
[12.6216336, 46.5269091]
[12.6247846, 46.5599475]
[7.7866155, 45.8308025]
[6.504611, 44.2862194]
[6.823884, 44.4980593]
[6.9348918, 44.440083]
[6.7880841, 44.4414812]
[8.4377808, 46.7720386]
[8.9148592, 46.8111534]
[12.0655, 46.5510125]
[12.051053, 46.537008]
[8.2412197, 46.9739148]
[9.9626213, 45.7583381]
[9.0711183, 46.343609]
[7.0019444, 46.3722222]
[6.9247265, 46.1269501]
[13.8398047, 47.8731972]
[12.9592942, 43.2111504]
[13.8365822, 46.3782982]
[13.216547, 46.570925]
[15.819128, 47.938416]
[15.5045559, 44.3673159]
[10.1128802, 46.9373037]
[16.8514043, 43.9654037]
[16.5090422, 44.43011]
[17.8882254, 44.4174867]
[16.2556186, 44.5191406]
[16.1701369, 43.9246619]
[16.6374282, 43.5271068]
[16.5894228, 44.1565272]
[16.5921298, 43.9479473]
[17.043768, 44.1198074]
[17.5055478, 43.6681292]
[10.3491667, 47.0016667]
[14.8163271, 46.2573627]
[17.8628551, 43.5483559]
[17.636383, 44.2926264]
[7.6, 46.4619444]
[11.7385436, 47.5151016]
[14.5103529, 46.9853978]
[12.535, 47.5147222]
[14.2408212, 47.6525105]
[7.7161432, 46.101233]
[10.726062, 46.7978232]
[8.0120569, 46.127633]
[12.0120518, 47.7034761]
[10.1291667, 47.2847222]
[13.5280623, 46.6875328]
[10.8672222, 46.8852371]
[12.1382447, 47.6811906]
[7.3622202, 46.3559323]
[9.9800577, 47.3994434]
[13.828438, 46.776861]
[9.7889005, 47.0913617]
[14.5672214, 47.0636156]
[9.9713275, 47.2681196]
[13.2585678, 46.4496725]
[11.5768294, 48.0692044]
[16.1100663, 48.2238511]
[12.2943687, 47.7126605]
[10.986297, 47.421215]
[8.7297882, 49.4026602]
[16.799874, 49.6068736]
[8.402068, 48.9967016]
[15.6080104, 47.9806154]
[8.6139433, 47.6888702]
[8.1765379, 47.5452595]
[12.8314232, 47.1237732]
[8.4911346, 47.3496439]
[9.1210665, 47.0749493]
[9.1206328, 47.0914459]
[8.149056, 47.5456815]
[8.9820852, 48.5063107]
[7.8104669, 47.3628979]
[11.3110958, 49.4655941]
[7.4438313, 46.9174332]
[7.5277004, 46.9778486]
[7.6523674, 46.6461936]
[7.5377356, 46.6940109]
[7.6935544, 46.4249785]
[8.0054694, 46.5776321]
[11.0973466, 49.4766973]
[11.1106624, 49.4635072]
[9.7802047, 47.5073712]
[15.5806145, 47.7986143]
[15.6388502, 47.7521084]
[9.7167663, 48.7427848]
[9.5560622, 48.1623379]
[9.0974468, 48.8311496]
[7.137705, 43.7507158]
[11.0285001, 49.5032742]
[15.523213, 46.600934]
[5.9298345, 46.2570066]
[15.5794708, 46.5158827]
[15.5946941, 47.703193]
[12.7376171, 47.3293614]
[12.6874982, 47.1880444]
[17.3926915, 48.5234508]
[8.2022485, 48.7526525]
[8.7532405, 48.5959607]
[9.328929, 47.2916106]
[7.4927853, 48.5849587]
[6.7591975, 49.6632227]
[6.8711063, 49.6624995]
[7.4314295, 48.6106722]
[7.2869446, 48.6011937]
[7.4044908, 48.437458]
[14.3323181, 46.3516582]
[13.478249, 47.5681202]
[14.4828726, 46.0587163]
[12.2487348, 47.747151]
[12.1843387, 47.7260968]
[12.1835401, 47.7005164]
[12.1068813, 47.7084725]
[12.2310292, 47.7344547]
[12.1394455, 47.4948368]
[16.6757475, 49.1905161]
[14.5572005, 46.1347876]
[11.0132328, 47.8009644]
[11.479586, 49.5663045]
[11.4621291, 49.5688833]
[8.0159153, 46.3713293]
[11.2483613, 49.6909438]
[11.0754529, 49.4580174]
[14.6381946, 46.0103108]
[14.6295775, 46.0510278]
[7.3186695, 46.0809572]
[12.934082, 47.6317889]
[7.3569991, 46.1572284]
[10.3570719, 47.4842683]
[9.2838263, 48.7956538]
[11.3246723, 49.5237602]
[15.4056472, 47.6487533]
[11.3402149, 49.6029554]
[11.2419906, 49.5625088]
[11.1301775, 49.5514625]
[11.3350697, 49.6192117]
[11.129805, 49.5120798]
[9.4020614, 47.8191417]
[15.54295, 46.5048889]
